Time(s),CPU_Usage(%),Memory_Usage(%)
0.68,64.9,86.7
0.79,93.8,86.7
0.88,100,86.7
0.98,95.8,86.7
1.05,97.6,86.7
1.15,100,86.7
1.23,95.9,86.7
1.32,95.9,86.7
1.41,98,86.7
1.5,95.8,86.8
1.6,100,86.8
1.68,97.9,86.8
1.78,97.9,86.8
1.87,97.9,86.8
1.96,95.9,86.8
2.05,97.5,86.8
2.17,98.4,87.4
2.29,98.4,87.8
2.39,100,87.8
2.49,100,87.9
2.58,100,88
2.68,95.8,87.9
2.78,100,87.9
2.87,100,87.9
2.96,100,87.9
3.05,97.9,87.9
3.14,97.6,87.9
3.26,100,87.9
3.37,95.8,88
3.46,100,88.1
3.56,97.9,88
3.65,94.7,88
3.75,92.5,88
3.84,95.9,88
3.93,100,88
4.02,95.9,88
4.1,95.8,88
4.2,93.8,88
4.3,95.8,88
4.39,97.9,88
4.48,97.5,88.1
4.57,98,88.1
4.64,97.9,88.1
4.74,95.8,88.1
4.86,93,88.1
4.95,97.9,88.1
5.07,98.2,88.1
5.18,93,88.1
5.29,98.2,88.1
5.39,94.6,88.1
5.5,92.9,88.1
5.61,92.9,88.1
5.72,94.6,88.1
5.83,96.4,88.1
5.94,100,88.1
6.03,96,88.1
6.13,98.2,88.1
6.25,91.5,88
6.35,98.3,88
6.46,96.6,88.1
6.56,98,88.1
6.68,98.2,88.1
6.78,96.5,88.1
6.89,90.9,88.1
7,97.9,88.1
7.1,97.9,88.1
